Date,hour,A,B,C,D,E,F,G,H,NEW,Acon,Bcon,Ccon,Dcon,Econ,Fcon,Gcon,Hcon,NEWcon
2017-07-01-0,0,632.88,843.3,372,447,404.28,180.63,686.16,1017.45,662.04,784.9239344,1111.591475,415.052459,434.0852459,357.9016393,184.3214754,461.4314754,830.4108197,803.8918033
2017-07-01-1,1,546.84,730.26,426,359.4,402.11,310.77,839.34,1078.02,651.24,669.844918,965.4963934,436.1606557,383.4196721,358.0927869,176.7585246,537.202623,816.4785246,777.1278689
2017-07-01-2,2,494.46,694.08,381.6,298.8,414.43,421.02,850.32,1071.54,652.68,600.9786885,873.7140984,379.5639344,318.0295082,359.0086885,313.117377,534.9245902,806.7821311,766.4281967
2017-07-01-3,3,541.08,653.94,367.8,374.4,414.01,406.98,830.88,980.28,641.52,615.9363934,818.3331148,417.5213115,375.157377,358.0234426,300.535082,530.1678689,808.8137705,760.5265574
2017-07-01-4,4,533.7,636.48,393.6,318.6,407.45,468.9,515.88,956.25,642.24,597.7711475,789.6068852,376.2393443,324.9147541,355.2760656,313.3180328,359.7344262,820.3706557,764.6459016
2017-07-01-5,5,519.12,647.64,516.6,599.4,388.47,455.94,823.86,1015.65,630.36,568.4488525,783.1209836,849.6196721,608.4885246,349.5957377,302.9001639,525.9983607,815.7172131,775.2983607
2017-07-01-6,6,618.48,726.3,786.6,998.4,412.34,421.74,812.52,1053.99,640.08,658.4665574,845.0232787,1159.022951,937.8196721,355.6793443,303.8931148,523.0416393,816.0521311,857.2367213
2017-07-01-7,7,725.76,856.08,1057.2,1212,469.3,446.67,687.42,1085.13,652.32,774.392459,978.4062295,1372.2,1393.347541,418.0419672,303.7691803,519.0137705,813.1352459,1018.8
2017-07-01-8,8,774.72,891,1236.6,1182.6,502.06,384.21,445.68,1078.74,691.92,828.1386885,1065.502623,1572.22623,1348.868852,421.8731148,311.6685246,645.4504918,842.6036066,1413.643279
2017-07-01-9,9,688.14,877.68,1143,940.8,498.35,467.91,376.92,1129.77,804.24,802.1419672,1087.63377,1342.563934,1049.222951,422.6852459,356.1609836,645.1760656,839.6498361,1882.982951
2017-07-01-10,10,637.38,848.7,940.2,874.8,492.69,442.44,387.54,1102.59,1325.16,806.8101639,1074.186885,1381.170492,1069.347541,439.0542623,344.062623,676.6170492,834.5242623,2334.92459
2017-07-01-11,11,626.76,858.06,1249.2,874.2,381.49,390.24,376.38,917.55,1390.32,785.1216393,1095.379672,1385.645902,1177.003279,436.9677049,345.8065574,633.0186885,835.2619672,2462.287869
2017-07-01-12,12,630.54,857.7,1332.6,909,397.33,204.66,322.92,894.42,1401.48,794.8740984,1126.507869,1448.832787,1061.006557,355.6442623,208.522623,526.4203279,816.0137705,2424.505574
2017-07-01-13,13,669.96,865.26,1559.4,903,473.69,396.27,372.42,1071.36,1409.76,818.3803279,1126.622951,1407.92459,1052.744262,450.3122951,309.0098361,646.3740984,864.6506557,2510.89377
2017-07-01-14,14,610.56,869.58,1373.4,1002,468.11,517.5,355.14,992.43,1420.2,785.3488525,1132.598361,1646.557377,1108.947541,458.7267213,347.9606557,574.2442623,854.4231148,2505.322623
2017-07-01-15,15,611.64,866.34,1141.8,1021.8,509.84,419.49,375.12,950.94,1414.44,793.3721311,1133.380328,1551.540984,1158.531148,462.7295082,336.7563934,613.2570492,848.8327869,2456.309508
2017-07-01-16,16,624.42,890.1,1076.4,884.4,497.8,365.49,279.72,984.51,1418.4,804.0216393,1157.107869,1504.937705,1042.337705,462.9536066,339.4165574,507.3137705,838.3529508,2420.817049
2017-07-01-17,17,658.26,910.8,1159.2,843,499.21,365.94,138.78,999.18,1397.52,864.2980328,1211.680328,1385.370492,1111.013115,461.5457377,289.8486885,362.0567213,834.0004918,2378.401967
2017-07-01-18,18,770.58,983.7,1162.2,880.2,422.92,415.71,137.16,1043.46,1394.28,1002.67082,1297.245246,1417.485246,1170.659016,373.8481967,310.8688525,361.8619672,836.3508197,2174.842623
2017-07-01-19,19,821.88,1059.48,1417.8,820.2,412.99,365.85,178.02,947.61,1306.44,1047.473115,1382.526885,1293.088525,1177.347541,369.4837705,330.5906557,366.0845902,827.1177049,1975.314098
2017-07-01-20,20,884.52,1107.72,1212.6,924.6,408.35,361.62,232.74,901.26,1104.84,1098.298033,1442.891803,1207.75082,980.6065574,354.5263934,324.36,426.9659016,831.9909836,1769.618361
2017-07-01-21,21,863.82,1073.16,1231.2,915,396.9,508.77,296.28,1051.92,974.88,1095.474098,1449.076721,1211.252459,965.8622951,358.422623,345.2739344,542.7767213,831.4878689,1358.734426
2017-07-01-22,22,833.76,1033.2,932.4,751.8,406.98,512.19,249.84,980.64,709.56,1040.43541,1384.483279,1205.537705,926.852459,360.5468852,349.2545902,538.4714754,817.4272131,943.8196721
2017-07-01-23,23,752.76,957.78,849,793.8,407.12,462.96,248.04,982.08,693.72,931.777377,1294.028852,969.452459,806.6655738,363.7878689,324.9737705,534.3698361,809.3154098,836.722623
2017-07-02-0,0,669.78,827.46,352.8,445.2,401.65,182.43,240.48,936.9,662.04,784.9239344,1111.591475,415.052459,434.0852459,357.9016393,184.3214754,461.4314754,830.4108197,803.8918033
2017-07-02-1,1,574.2,722.34,367.2,429,394.92,259.74,249.12,993.87,647.28,669.844918,965.4963934,436.1606557,383.4196721,358.0927869,176.7585246,537.202623,816.4785246,777.1278689
2017-07-02-2,2,519.3,671.22,262.8,330.6,373.74,459.09,250.2,916.47,646.2,600.9786885,873.7140984,379.5639344,318.0295082,359.0086885,313.117377,534.9245902,806.7821311,766.4281967
2017-07-02-3,3,551.34,638.46,311.4,352.2,368.31,494.37,235.26,875.25,641.16,615.9363934,818.3331148,417.5213115,375.157377,358.0234426,300.535082,530.1678689,808.8137705,760.5265574
2017-07-02-4,4,524.52,630.18,296.4,307.8,409.61,403.92,209.52,873,637.92,597.7711475,789.6068852,376.2393443,324.9147541,355.2760656,313.3180328,359.7344262,820.3706557,764.6459016
2017-07-02-5,5,508.14,647.1,740.4,619.8,415.05,386.37,251.82,914.13,675.72,568.4488525,783.1209836,849.6196721,608.4885246,349.5957377,302.9001639,525.9983607,815.7172131,775.2983607
2017-07-02-6,6,556.92,734.94,1006.2,979.8,405.36,431.01,250.02,874.53,744.84,658.4665574,845.0232787,1159.022951,937.8196721,355.6793443,303.8931148,523.0416393,816.0521311,857.2367213
2017-07-02-7,7,654.3,857.7,1193.4,1351.2,493.1,424.89,227.7,814.32,928.08,774.392459,978.4062295,1372.2,1393.347541,418.0419672,303.7691803,519.0137705,813.1352459,1018.8
2017-07-02-8,8,783.36,882.72,1099.2,1345.8,484.48,413.82,123.12,728.64,1305.72,828.1386885,1065.502623,1572.22623,1348.868852,421.8731148,311.6685246,645.4504918,842.6036066,1413.643279
2017-07-02-9,9,760.5,863.46,1043.4,934.2,504.89,416.7,116.46,738.45,1694.16,802.1419672,1087.63377,1342.563934,1049.222951,422.6852459,356.1609836,645.1760656,839.6498361,1882.982951
2017-07-02-10,10,750.06,835.92,972.6,816,472.76,364.86,117.9,717.03,2016,806.8101639,1074.186885,1381.170492,1069.347541,439.0542623,344.062623,676.6170492,834.5242623,2334.92459
2017-07-02-11,11,744.66,842.04,1289.4,906.6,470.11,442.98,120.06,730.89,2344.32,785.1216393,1095.379672,1385.645902,1177.003279,436.9677049,345.8065574,633.0186885,835.2619672,2462.287869
2017-07-02-12,12,729.72,864.18,1061.4,835.2,391.86,192.78,127.8,666.09,2328.84,794.8740984,1126.507869,1448.832787,1061.006557,355.6442623,208.522623,526.4203279,816.0137705,2424.505574
2017-07-02-13,13,782.46,872.82,997.2,867.6,475.31,451.26,164.16,687.96,2356.56,818.3803279,1126.622951,1407.92459,1052.744262,450.3122951,309.0098361,646.3740984,864.6506557,2510.89377
2017-07-02-14,14,707.04,850.14,1356.6,978,512.16,385.11,209.7,691.56,2325.96,785.3488525,1132.598361,1646.557377,1108.947541,458.7267213,347.9606557,574.2442623,854.4231148,2505.322623
2017-07-02-15,15,711.72,847.44,1173,1027.8,422.17,449.82,211.32,652.77,2332.8,793.3721311,1133.380328,1551.540984,1158.531148,462.7295082,336.7563934,613.2570492,848.8327869,2456.309508
2017-07-02-16,16,703.62,871.92,953.4,844.2,447.3,500.13,209.88,626.58,2316.24,804.0216393,1157.107869,1504.937705,1042.337705,462.9536066,339.4165574,507.3137705,838.3529508,2420.817049
2017-07-02-17,17,730.44,909,1233.6,876.6,433.12,485.37,209.52,658.08,2239.2,864.2980328,1211.680328,1385.370492,1111.013115,461.5457377,289.8486885,362.0567213,834.0004918,2378.401967
2017-07-02-18,18,817.2,963.9,1089.6,1007.4,231.01,486.18,208.08,699.03,2042.64,1002.67082,1297.245246,1417.485246,1170.659016,373.8481967,310.8688525,361.8619672,836.3508197,2174.842623
2017-07-02-19,19,831.96,1039.14,1150.2,1039.2,315.33,518.58,139.68,695.88,1769.04,1047.473115,1382.526885,1293.088525,1177.347541,369.4837705,330.5906557,366.0845902,827.1177049,1975.314098
2017-07-02-20,20,871.38,1084.86,1063.2,873,302.47,482.13,127.08,688.14,1523.52,1098.298033,1442.891803,1207.75082,980.6065574,354.5263934,324.36,426.9659016,831.9909836,1769.618361
2017-07-02-21,21,853.74,1077.84,1212,883.2,399.27,527.13,125.1,697.68,1266.84,1095.474098,1449.076721,1211.252459,965.8622951,358.422623,345.2739344,542.7767213,831.4878689,1358.734426
2017-07-02-22,22,819,1042.02,1033.2,768,399.85,508.23,122.22,711.09,911.52,1040.43541,1384.483279,1205.537705,926.852459,360.5468852,349.2545902,538.4714754,817.4272131,943.8196721
2017-07-02-23,23,754.56,995.94,978,897,411.23,493.83,120.42,723.78,834.84,931.777377,1294.028852,969.452459,806.6655738,363.7878689,324.9737705,534.3698361,809.3154098,836.722623
2017-07-03-0,0,673.38,867.06,494.4,585.6,374.4,430.47,121.14,712.08,866.88,784.9239344,1111.591475,415.052459,434.0852459,357.9016393,184.3214754,461.4314754,830.4108197,803.8918033
2017-07-03-1,1,577.44,760.5,468,565.2,371.6,53.01,121.32,660.51,777.6,669.844918,965.4963934,436.1606557,383.4196721,358.0927869,176.7585246,537.202623,816.4785246,777.1278689
2017-07-03-2,2,523.26,703.08,399,512.4,397.74,35.28,121.68,705.69,741.6,600.9786885,873.7140984,379.5639344,318.0295082,359.0086885,313.117377,534.9245902,806.7821311,766.4281967
2017-07-03-3,3,524.34,665.82,462.6,529.2,366.48,21.69,122.04,752.76,764.64,615.9363934,818.3331148,417.5213115,375.157377,358.0234426,300.535082,530.1678689,808.8137705,760.5265574
2017-07-03-4,4,552.06,648,426,381.6,370.94,27.63,121.86,760.95,769.68,597.7711475,789.6068852,376.2393443,324.9147541,355.2760656,313.3180328,359.7344262,820.3706557,764.6459016
