Date,DA,RT,Signal,reg_ccp,reg_pcp
2017-07-01-0,21.05,22.770001,-0.55922865,4.19,0.14
2017-07-01-1,20.87,22.95,-0.591062137,7.61,0.15
2017-07-01-2,19.94,20.45,-0.608815427,4.34,0
2017-07-01-3,18.96,19.8,-0.573308846,4.43,0.14
2017-07-01-4,18.43,18.78,-0.49862259,10.47,0.11
2017-07-01-5,18.36,17.63,0.158555249,22.85,1.22
2017-07-01-6,18.27,20.81,0.2996633,5.02,0.76
2017-07-01-7,20.06,21.609999,0.397000306,6.41,0.56
2017-07-01-8,21.57,22.38,0.364860728,5.58,2.99
2017-07-01-9,23.57,25.72,0.292623202,9.08,2.46
2017-07-01-10,25.89,29.869999,0.309458219,23.73,2.04
2017-07-01-11,28.15,29.82,0.243036425,35.47,1.59
2017-07-01-12,29.08,64.359999,0.230180594,104.24,1.35
2017-07-01-13,30.54,39.83,0.158555249,24.98,0.54
2017-07-01-14,31.42,43.39,-0.634527089,9.02,1.33
2017-07-01-15,33.32,32.77,-0.593204775,3.45,1.14
2017-07-01-16,35.51,30.72,-0.585858586,3.8,1.25
2017-07-01-17,33.86,54.12,-0.485460667,37.21,1.04
2017-07-01-18,31.29,51.37,0.184879094,34.71,1.07
2017-07-01-19,30.08,29.450001,0.239669421,16.77,0.41
2017-07-01-20,28.89,27.190001,0.337006428,10.05,2.51
2017-07-01-21,27.76,26.87,0.307621671,9.86,1.31
2017-07-01-22,25.14,23.74,0.411386593,7.93,1.17
2017-07-01-23,22.02,21.84,0.22681359,5.63,2.62
2017-07-02-0,20.65,20.44,-0.596571778,5.17,1.11
2017-07-02-1,20.14,21.09,-0.639424549,4.5,1.11
2017-07-02-2,19.17,19.75,-0.623201714,0.89,0.85
2017-07-02-3,17.69,18.200001,-0.634527089,8.8,1.34
2017-07-02-4,16.68,16.900001,-0.494031221,8.48,0.92
2017-07-02-5,15.7,15.100001,0.288337925,23.84,1.5
2017-07-02-6,15.04,16.79,0.283746556,9.01,2.18
2017-07-02-7,17.6,20.54,0.151821243,8.29,1.22
2017-07-02-8,20.43,21.039999,0.193449648,14.66,1.76
2017-07-02-9,22.57,24.229999,0.261401898,5.71,1.37
2017-07-02-10,25.21,27.699999,0.272421182,9.52,2.07
2017-07-02-11,27.56,31.670001,0.296908479,17.08,1.89
2017-07-02-12,29.87,33.650001,0.331802877,21.25,0.89
2017-07-02-13,33.26,30.8,0.155494337,16.65,0.33
2017-07-02-14,36.48,49.25,-0.625650444,5.95,0
2017-07-02-15,39.67,52.820001,-0.625650444,10.25,0.7
