Date,Apv,Bpv,Cpv,Dpv,Epv,Fpv,Gpv,Hpv,NEWpv,,,,,,,,,,
2017-07-01-0,0,0,0,0,0.0169293,0,0,0,0,,,,,,,,,,
2017-07-01-1,0,0,0,0,0.0135434,0,0,0,0.00340097,,,,,,,,,,
2017-07-01-2,0,0,0,0,0.0169293,0,0,0,0,,,,,,,,,,
2017-07-01-3,0,0,0,0,0.0169293,0,0,0,0,,,,,,,,,,
2017-07-01-4,0,0,0,0,0.0135434,0,0,0,0,,,,,,,,,,
2017-07-01-5,0,0,0,0,0.0169293,0,0,0,0.00680194,,,,,,,,,,
2017-07-01-6,0.813702,0,0.895986,0.45045,0.521422,0.626384,0,0.768283,0.652987,,,,,,,,,,
2017-07-01-7,6.42852,5.12126,5.5004,5.49713,4.06642,5.53588,7.12696,3.63924,6.00272,,,,,,,,,,
2017-07-01-8,14.279,12.7125,15.4136,11.9721,11.0311,14.7556,17.439,10.1237,15.7261,,,,,,,,,,
2017-07-01-9,25.0328,21.8375,29.1073,20.9549,22.0758,35.3789,28.2202,24.2947,29.3334,,,,,,,,,,
2017-07-01-10,39.3983,33.8184,42.5454,36.0851,33.4929,46.1967,44.8611,39.3956,34.0335,,,,,,,,,,
2017-07-01-11,43.4587,51.6052,50.5585,53.0859,43.4948,60.2175,59.8617,50.2362,34.5913,,,,,,,,,,
2017-07-01-12,46.8298,55.4243,52.5634,55.9443,50.2631,65.3065,57.3239,66.8517,42.9883,,,,,,,,,,
2017-07-01-13,50.1927,50.9944,49.5806,49.9148,50.7337,67.5547,55.1252,63.819,47.6,,,,,,,,,,
2017-07-01-14,51.4281,43.5173,44.5503,44.1474,45.7125,59.6859,59.0774,62.8411,57.3336,,,,,,,,,,
2017-07-01-15,49.0736,48.8801,35.8902,45.1941,23.9922,47.8456,63.9748,65.1901,50.1779,,,,,,,,,,
2017-07-01-16,40.0904,31.0162,44.6273,30.7076,15.9542,47.6391,52.3751,53.0042,39.6621,,,,,,,,,,
2017-07-01-17,30.3233,26.6936,25.5217,26.5536,12.5548,28.2144,46.6934,43.487,31.6426,,,,,,,,,,
2017-07-01-18,20.2561,19.938,17.1859,18.8812,9.5312,20.9788,39.2822,23.2176,19.8957,,,,,,,,,,
2017-07-01-19,6.63127,6.09114,7.32677,7.17444,5.9862,7.65204,12.4765,6.74545,8.57045,,,,,,,,,,
2017-07-01-20,0.800186,0.993376,1.16953,0.4095,0.839693,1.72002,1.04798,0.610215,0.799228,,,,,,,,,,
2017-07-01-21,0.00810999,0,0,0,0.0101576,0,0,0,0,,,,,,,,,,
2017-07-01-22,0,0,0,0,0.0169293,0,0,0,0,,,,,,,,,,
2017-07-01-23,0,0,0,0,0.0169293,0,0,0,0,,,,,,,,,,
2017-07-02-0,0,0,0,0,0.0135434,0,0,0,0,,,,,,,,,,
2017-07-02-1,0,0,0,0,0.0169293,0,0,0,0.00340097,,,,,,,,,,
2017-07-02-2,0,0,0,0,0.0169293,0,0,0,0.00340097,,,,,,,,,,
2017-07-02-3,0,0,0,0,0.0135434,0,0,0,0,,,,,,,,,,
2017-07-02-4,0,0,0,0,0.0169293,0,0,0,0,,,,,,,,,,
2017-07-02-5,0,0,0,0,0.0169293,0,0,0,0,,,,,,,,,,
2017-07-02-6,0.781262,0.003356,0.627354,0.31122,0.291184,0.223467,0,0.551399,0.0612175,,,,,,,,,,
2017-07-02-7,2.89527,2.80562,3.84766,3.72481,3.91405,4.01224,3.00695,5.34857,1.99977,,,,,,,,,,
2017-07-02-8,7.2287,10.0814,6.68795,9.8411,6.3688,10.8449,14.045,10.7633,8.12832,,,,,,,,,,
2017-07-02-9,15.0657,17.2163,9.22358,20.0606,6.274,19.2588,18.2849,22.8757,9.13161,,,,,,,,,,
2017-07-02-10,14.0762,21.2468,16.932,23.6003,14.1089,27.9943,30.6517,23.2176,19.2393,,,,,,,,,,
2017-07-02-11,18.8828,44.4536,24.932,46.2915,22.2722,54.2618,43.9467,48.5562,44.7534,,,,,,,,,,
2017-07-02-12,24.7355,42.7286,55.1171,37.6576,42.7194,53.5609,42.9056,56.7353,58.1294,,,,,,,,,,
2017-07-02-13,50.2576,45.5107,63.4135,37.7805,52.2709,56.3983,51.3819,71.6599,60.0306,,,,,,,,,,
2017-07-02-14,54.3018,54.8639,60.8583,31.4676,53.93,30.6962,63.0741,72.7774,57.4798,,,,,,,,,,
2017-07-02-15,51.0443,44.071,54.9565,26.4046,49.4099,45.9089,61.5398,68.5941,53.8476,,,,,,,,,,
2017-07-02-16,43.9751,35.097,45.0565,24.5078,42.8514,26.4673,48.8784,59.3563,34.0879,,,,,,,,,,
2017-07-02-17,32.4291,18.7433,29.0909,18.0721,26.1388,19.9055,30.3572,46.4572,36.2067,,,,,,,,,,
2017-07-02-18,21.0454,7.93694,18.3243,5.64946,12.0909,18.585,9.72979,25.4158,22.1539,,,,,,,,,,
2017-07-02-19,8.09107,4.1648,6.28337,3.30221,5.59344,9.59214,4.12686,11.5794,9.00237,,,,,,,,,,
2017-07-02-20,0.759636,1.18131,1.1597,0.771498,1.04623,1.29678,1.85623,1.02928,0.989683,,,,,,,,,,
2017-07-02-21,0.00810999,0,0,0,0.0135434,0,0,0,0,,,,,,,,,,
2017-07-02-22,0,0,0,0,0.0135434,0,0,0,0,,,,,,,,,,
2017-07-02-23,0,0,0,0,0.0169293,0,0,0,0,,,,,,,,,,
2017-07-03-0,0,0,0,0,0.0135434,0,0,0,0,,,,,,,,,,
2017-07-03-1,0,0,0,0,0.0169293,0,0,0,0,,,,,,,,,,
2017-07-03-2,0,0,0,0,0.0135434,0,0,0,0.00340097,,,,,,,,,,
2017-07-03-3,0,0,0,0,0.0169293,0,0,0,0,,,,,,,,,,
2017-07-03-4,0,0,0,0,0.0169293,0,0,0,0,,,,,,,,,,
2017-07-03-5,0,0,0,0,0.0135434,0,0,0,0,,,,,,,,,,
2017-07-03-6,0.624469,0,0.348894,0.651924,0.192994,0.220081,0,0.408036,0.0748214,,,,,,,,,,
2017-07-03-7,4.71461,3.39963,3.04177,3.18755,2.2753,4.38807,4.73647,4.69057,3.90091,,,,,,,,,,
2017-07-03-8,10.0645,6.72878,7.69041,8.08844,5.16005,5.63746,7.38039,13.2226,9.76079,,,,,,,,,,
2017-07-03-9,16.9823,13.924,18.9042,14.6159,17.0613,11.0176,8.45235,16.6633,25.0107,,,,,,,,,,
2017-07-03-10,23.1811,12.4138,27.2088,15.0974,27.8724,8.09898,13.0244,18.788,31.595,,,,,,,,,,
2017-07-03-11,20.8967,8.66184,23.8296,11.6478,15.8865,13.6992,10.9524,24.6439,24.2217,,,,,,,,,,
2017-07-03-12,13.0382,14.6825,22.1228,12.2752,14.0682,15.6291,18.8808,19.0306,20.2494,,,,,,,,,,
2017-07-03-13,8.9318,11.6319,19.8968,8.53889,15.9745,17.9146,11.3531,20.3099,26.0923,,,,,,,,,,
2017-07-03-14,9.52383,10.6285,18.5651,7.64618,15.4497,7.53015,5.95569,13.6894,22.8273,,,,,,,,,,
